Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp
1,Tom Brady,TAM,44,QB,17,17,485,719,5316,5791,8.1,2762,5.7,3.8,2554,5.3
2,Justin Herbert,LAC,23,QB,17,17,443,672,5014,5076,7.6,2627,5.9,3.9,2387,5.4
3,Matthew Stafford,LAR,33,QB,17,17,404,601,4886,5092,8.5,2760,6.8,4.6,2126,5.3
4,Patrick Mahomes,KAN,26,QB,17,17,436,658,4839,4829,7.3,2140,4.9,3.3,2699,6.2
5,Derek Carr,LVR,30,QB,17,17,428,626,4804,5087,8.1,2525,5.9,4,2279,5.3
6,Joe Burrow,CIN,25,QB,16,16,366,520,4611,4192,8.1,2332,6.4,4.5,2279,6.2
7,Dak Prescott,DAL,28,QB,16,16,410,596,4449,4592,7.7,2425,5.9,4.1,2024,4.9
8,Josh Allen,BUF,25,QB,17,17,409,646,4407,5304,8.2,2664,6.5,4.1,1743,4.3
9,Kirk Cousins,MIN,33,QB,16,16,372,561,4221,4576,8.2,2415,6.5,4.3,1806,4.9
10,Aaron Rodgers,GNB,38,QB,16,16,366,531,4115,4099,7.7,1947,5.3,3.7,2168,5.9
11,Matt Ryan,ATL,36,QB,17,17,375,560,3968,3986,7.1,2244,6,4,1724,4.6
12,Jimmy Garoppolo,SFO,30,QB,15,15,301,441,3810,3304,7.5,1844,6.1,4.2,1966,6.5
13,Mac Jones,NWE,23,QB,17,17,352,521,3801,4161,8,2027,5.8,3.9,1774,5
14,Kyler Murray,ARI,24,QB,14,14,333,481,3787,3847,8,1986,6,4.1,1801,5.4
15,Ben Roethlisberger,PIT,39,QB,16,16,390,605,3740,4052,6.7,1808,4.6,3,1932,5
16,Ryan Tannehill,TEN,33,QB,17,17,357,531,3734,3959,7.5,1958,5.5,3.7,1776,5
17,Trevor Lawrence,JAX,22,QB,17,17,359,602,3641,4745,7.9,2004,5.6,3.3,1637,4.6
18,Carson Wentz,IND,29,QB,17,17,322,516,3563,3941,7.6,1913,5.9,3.7,1650,5.1
19,Taylor Heinicke,WAS,28,QB,16,15,321,494,3419,3762,7.6,1655,5.2,3.4,1764,5.5
20,Jared Goff,DET,27,QB,14,14,332,494,3245,3150,6.4,1490,4.5,3,1755,5.3
21,Jalen Hurts,PHI,23,QB,15,15,265,432,3144,3867,9,1681,6.3,3.9,1463,5.5
22,Russell Wilson,SEA,33,QB,14,14,259,400,3113,3956,9.9,1730,6.7,4.3,1383,5.3
23,Teddy Bridgewater,DEN,29,QB,14,14,285,426,3052,3417,8,1658,5.8,3.9,1394,4.9
24,Baker Mayfield,CLE,26,QB,14,14,253,418,3010,3610,8.6,1632,6.5,3.9,1378,5.4
25,Lamar Jackson,BAL,24,QB,12,12,246,382,2882,3543,9.3,1734,7,4.5,1148,4.7
26,Davis Mills,HOU,23,QB,13,11,263,394,2664,2852,7.2,1419,5.4,3.6,1245,4.7
27,Tua Tagovailoa,MIA,23,QB,13,12,263,388,2653,2734,7,1436,5.5,3.7,1217,4.6
28,Sam Darnold,CAR,24,QB,12,11,243,406,2527,2947,7.3,1151,4.7,2.8,1376,5.7
29,Daniel Jones,NYG,24,QB,11,11,232,361,2428,2616,7.2,1334,5.8,3.7,1094,4.7
30,Zach Wilson,NYJ,22,QB,13,13,213,383,2334,2900,7.6,1245,5.8,3.3,1089,5.1
31,Justin Fields,CHI,22,QB,12,10,159,270,1870,2641,9.8,1178,7.4,4.4,692,4.4
32,Andy Dalton,CHI,34,qb,8,6,149,236,1515,1620,6.9,763,5.1,3.2,752,5
