player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Patrick Mahomes,11765,QB,KC,20,0,16,60.8,98.7,154,38.3,156,60.9,0,92.2,402,436,60.4,98.7,228,56.7,231
Tua Tagovailoa,60326,QB,MIA,18,0,17,60.0,99.2,126,31.4,127,60.0,0,95.2,401,421,60.0,98.8,248,61.8,251
David Andrews,9948,C,NE,17,0,19,87.7,100.0,206,51.4,206,78.0,0,100.0,401,401,74.4,100.0,140,34.9,140
Jonah Jackson,37070,G,DET,14,0,11,60.7,100.0,168,41.9,168,60.3,1,100.0,401,401,66.3,100.0,195,48.6,195
Greg Van Roten,7746,G,LV,17,0,23,71.5,100.0,167,41.9,167,68.5,0,100.0,399,399,64.5,100.0,161,40.4,161
Brandon Aiyuk,84109,WR,SF,19,0,28,62.2,100.0,105,26.4,105,72.9,2,100.0,397,397,81.6,100.0,248,62.5,248
Rasheed Walker,81798,T,GB,19,1,12,50.4,100.0,136,34.3,136,56.3,2,100.0,397,397,58.1,100.0,219,55.2,219
Bryce Young,123943,QB,CAR,16,0,5,60.0,99.4,162,40.9,163,60.0,0,98.0,396,404,60.0,100.0,222,56.1,222
Dak Prescott,10769,QB,DAL,18,0,9,60.2,98.2,161,40.7,164,60.2,0,93.0,396,426,60.2,98.5,197,49.7,200
Tyler Biadasz,41178,C,DAL,17,0,9,53.2,100.0,146,37.0,146,68.3,2,100.0,395,395,72.8,100.0,190,48.1,190
Josh Reynolds,11872,WR,DET,20,1,11,60.5,100.0,194,49.1,194,70.3,1,100.0,395,395,69.1,100.0,185,46.8,185
Lamar Jackson,46416,QB,BLT,18,1,3,60.2,79.7,189,48.1,237,60.2,1,80.2,393,490,60.0,89.8,184,46.8,205
James Hurst,9001,G,NO,15,0,20,55.4,100.0,139,35.5,139,56.9,1,100.0,392,392,62.2,100.0,197,50.3,197
Rashawn Slater,59971,T,LAC,17,1,27,51.1,100.0,142,36.2,142,59.5,3,100.0,392,392,65.0,100.0,202,51.5,202
Bernhard Raimann,77948,T,IND,15,0,14,68.0,100.0,127,32.4,127,74.6,1,100.0,392,392,72.2,100.0,248,63.3,248
Jamaree Salyer,81656,G,LAC,17,0,27,54.4,100.0,140,35.9,140,49.4,0,100.0,390,390,50.8,100.0,202,51.8,202
Lucas Patrick,11435,C,CHI,16,0,6,55.7,100.0,138,35.4,138,61.6,2,100.0,390,390,66.7,100.0,207,53.1,207
George Fant,11282,T,HST,17,0,13,55.3,100.0,155,40.3,155,51.9,0,100.0,385,385,55.6,100.0,186,48.3,186
Michael Pittman Jr.,29049,WR,IND,16,0,14,68.5,100.0,118,30.6,118,53.3,2,100.0,385,385,56.9,100.0,258,67.0,258
C.J. Stroud,129759,QB,HST,17,0,13,60.4,99.4,161,42.0,162,60.2,0,95.0,383,403,60.0,99.5,194,50.7,195
Broderick Jones,124025,T,PIT,14,0,25,68.8,100.0,129,33.8,129,61.2,0,100.0,382,382,55.8,100.0,185,48.4,185
Andre James,47058,C,LV,16,0,23,75.5,100.0,159,41.8,159,75.0,0,100.0,380,380,72.5,100.0,154,40.5,154
Trey Pipkins III,91462,T,LAC,17,0,27,35.0,100.0,137,36.1,137,50.3,0,100.0,379,379,66.6,100.0,198,52.2,198
Gardner Minshew,41401,QB,IND,16,0,14,60.3,100.0,124,32.7,124,60.3,0,96.7,379,392,60.2,100.0,250,66.0,250
Mike McGlinchey,46275,T,DEN,16,0,10,75.3,100.0,134,35.4,134,74.8,0,100.0,378,378,75.4,100.0,181,47.9,181
Kevin Dotson,46735,G,LA,15,0,26,90.4,100.0,211,55.8,211,88.4,0,100.0,378,378,74.9,100.0,147,38.9,147
Morgan Moses,8701,T,BLT,16,1,3,72.3,100.0,176,46.7,176,80.3,1,100.0,377,377,84.6,100.0,166,44.0,166
Zay Flowers,97268,WR,BLT,18,1,3,50.8,95.8,159,42.3,166,63.0,1,97.4,376,386,61.0,100.0,184,48.9,184
Puka Nacua,100632,WR,LA,18,0,26,85.8,98.7,228,60.6,231,78.1,2,96.7,376,389,61.8,99.3,138,36.7,139
Ben Bredeson,27305,G,NYG,16,0,21,28.9,100.0,129,34.6,129,41.4,2,100.0,373,373,61.6,100.0,203,54.4,203
David Njoku,11784,TE,CLV,17,0,8,53.9,100.0,207,55.9,207,54.4,0,100.0,370,370,59.6,100.0,126,34.1,126
Brandon Scherff,9438,G,JAX,17,0,15,59.5,100.0,186,50.4,186,61.1,0,100.0,369,369,56.3,100.0,146,39.6,146
Stefon Diggs,9579,WR,BUF,19,0,4,62.6,99.1,224,60.9,226,59.2,0,99.5,368,370,57.0,100.0,107,29.1,107
Kaleb McGary,46912,T,ATL,14,1,2,67.5,100.0,118,32.1,118,76.5,2,100.0,368,368,77.4,100.0,233,63.3,233
Gabe Davis,55410,WR,BUF,17,0,4,59.1,99.5,216,59.0,217,49.8,0,99.7,366,367,69.1,100.0,114,31.1,114
Laken Tomlinson,9461,G,NYJ,17,0,22,45.8,100.0,140,38.3,140,49.6,2,100.0,366,366,56.4,100.0,186,50.8,186
George Pickens,99229,WR,PIT,18,0,25,68.7,100.0,129,35.2,129,61.8,0,98.9,366,370,70.4,100.0,190,51.9,190
Adam Thielen,8288,WR,CAR,17,0,5,60.3,100.0,151,41.7,151,42.9,1,100.0,362,362,52.0,100.0,195,53.9,195
Cole Kmet,60995,TE,CHI,17,0,6,53.2,100.0,140,38.7,140,54.9,0,99.2,362,365,61.5,100.0,181,50.0,181
Rob Havenstein,9490,T,LA,15,0,26,71.2,100.0,219,61.3,219,85.6,0,100.0,357,357,90.7,100.0,117,32.8,117
Cordell Volson,30614,G,CIN,17,0,7,45.7,100.0,181,50.7,181,64.0,0,100.0,357,357,73.7,100.0,138,38.7,138
Jonah Williams,41651,T,CIN,17,0,7,58.6,100.0,181,50.7,181,54.0,0,100.0,357,357,53.3,100.0,138,38.7,138
Davante Adams,8688,WR,LV,17,0,23,66.0,100.0,151,42.4,151,49.4,0,100.0,356,356,62.0,100.0,155,43.5,155
Tyler Smith,98385,G,DAL,15,1,9,76.5,100.0,126,35.5,126,80.7,4,100.0,355,355,79.7,100.0,165,46.5,165
D.J. Humphries,9457,T,ARZ,15,0,1,61.6,100.0,163,46.0,163,56.5,0,100.0,354,354,53.5,100.0,156,44.1,156
Jermaine Eluemunor,11914,T,LV,17,0,23,66.3,100.0,146,41.4,146,71.5,0,100.0,353,353,68.4,100.0,150,42.5,150
Romeo Doubs,84329,WR,GB,19,0,12,59.2,100.0,125,35.6,125,55.4,0,100.0,351,351,58.6,100.0,193,55.0,193
Liam Eichenberg,41851,C,MIA,15,0,17,45.9,100.0,109,31.1,109,49.1,3,100.0,350,350,59.4,100.0,210,60.0,210
Ted Karras,10855,C,CIN,17,0,7,66.4,100.0,178,50.9,178,64.2,0,100.0,350,350,64.5,100.0,134,38.3,134
Allen Robinson II,8696,WR,PIT,18,0,25,57.7,100.0,127,36.3,127,57.8,0,100.0,350,350,63.2,100.0,172,49.1,172
Alex Cappa,66578,G,CIN,17,0,7,62.6,100.0,178,50.9,178,67.3,1,100.0,350,350,64.0,100.0,134,38.3,134
Drake London,86519,WR,ATL,16,0,2,62.2,100.0,99,28.4,99,56.7,0,100.0,349,349,62.7,100.0,230,65.9,230
Donovan Smith,9467,T,KC,16,0,16,49.1,100.0,136,39.0,136,48.0,0,100.0,349,349,49.1,100.0,174,49.9,174
Laremy Tunsil,10647,T,HST,16,0,13,67.5,100.0,138,39.5,138,66.7,0,100.0,349,349,57.8,100.0,171,49.0,171
Jalen Hurts,40291,QB,PHI,18,0,24,60.0,84.6,110,31.5,130,60.0,0,74.9,349,466,60.0,93.2,233,66.8,250
Tyler Higbee,10744,TE,LA,16,0,26,47.1,100.0,204,58.6,204,54.2,1,100.0,348,348,73.5,100.0,126,36.2,126
Zack Martin,8651,G,DAL,16,0,9,59.9,100.0,135,38.8,135,62.3,0,100.0,348,348,61.2,100.0,160,46.0,160
Desmond Ridder,55086,QB,ATL,15,0,2,60.3,89.2,99,28.4,111,60.3,0,91.1,348,382,60.2,97.2,241,69.3,248
Ryan Kelly,10652,C,IND,14,0,14,71.1,100.0,115,33.0,115,75.2,1,100.0,348,348,75.4,100.0,214,61.5,214
Derek Carr,8671,QB,NO,17,0,20,60.5,99.2,130,37.6,131,61.0,0,93.8,346,369,61.1,100.0,197,56.9,197
Zion Johnson,99681,G,LAC,15,0,27,63.4,100.0,128,37.1,128,57.2,2,100.0,345,345,52.3,100.0,177,51.3,177
Mike Onwenu,27357,T,NE,15,0,19,68.5,100.0,185,53.6,185,72.2,1,100.0,345,345,77.8,100.0,113,32.8,113
Orlando Brown Jr.,46227,T,CIN,17,0,7,43.9,100.0,174,50.6,174,57.1,1,100.0,344,344,74.3,100.0,133,38.7,133
Dallas Goedert,47272,TE,PHI,15,0,24,51.4,100.0,87,25.4,87,73.4,0,100.0,343,343,72.2,100.0,193,56.3,193
Peter Skoronski,129737,G,TEN,14,0,31,67.5,100.0,117,34.2,117,58.6,0,100.0,342,342,55.6,100.0,188,55.0,188
Foster Moreau,47043,TE,NO,15,0,20,51.7,100.0,144,42.1,144,51.0,2,100.0,342,342,54.4,100.0,155,45.3,155
Mekhi Becton,59818,T,NYJ,16,1,22,59.3,100.0,135,39.6,135,56.3,1,100.0,341,341,59.7,100.0,169,49.6,169
Jakobi Meyers,47468,WR,LV,16,0,23,55.2,100.0,150,44.4,150,36.7,2,99.1,338,341,45.3,100.0,140,41.4,140
Darnell Washington,124044,TE,PIT,18,0,25,46.2,100.0,112,33.3,112,53.2,0,100.0,336,336,62.5,100.0,169,50.3,169
Trevor Lawrence,77632,QB,JAX,16,0,15,61.3,98.9,183,54.8,185,61.1,0,92.0,334,363,60.2,96.4,133,39.8,138
Ronnie Stanley,10640,T,BLT,15,0,3,63.2,100.0,146,43.7,146,63.0,1,100.0,334,334,64.0,100.0,155,46.4,155
Teven Jenkins,41534,G,CHI,12,0,6,48.9,100.0,111,33.2,111,71.7,1,100.0,334,334,85.7,100.0,184,55.1,184
Cody Whitehair,10690,G,CHI,14,0,6,53.3,100.0,119,35.7,119,42.4,0,100.0,333,333,37.5,100.0,170,51.1,170
Andrus Peat,9446,T,NO,14,0,20,57.6,100.0,139,41.7,139,62.1,2,100.0,333,333,72.3,100.0,152,45.6,152
Tyron Smith,6161,T,DAL,14,0,9,79.9,100.0,124,37.3,124,68.4,1,100.0,332,332,57.6,100.0,161,48.5,161
Christian Darrisaw,77373,T,MIN,15,0,18,76.2,100.0,125,37.7,125,73.9,0,100.0,332,332,62.1,100.0,172,51.8,172
Trey McBride,75916,TE,ARZ,17,0,1,61.1,100.0,155,47.0,155,62.3,4,100.0,330,330,61.9,100.0,149,45.2,149
Jonathan Mingo,97774,WR,CAR,15,0,5,66.1,100.0,137,41.5,137,70.6,2,100.0,330,330,73.4,100.0,179,54.2,179
Ryan Ramczyk,11787,T,NO,12,0,20,61.7,100.0,133,40.7,133,67.3,2,100.0,327,327,65.9,100.0,154,47.1,154
Sam Cosmi,60114,G,WAS,17,0,32,74.7,100.0,101,31.0,101,80.9,0,100.0,326,326,76.0,100.0,202,62.0,202
Patrick Ricard,48862,FB,BLT,19,0,3,60.1,100.0,191,58.6,191,64.1,2,100.0,326,326,65.7,100.0,114,35.0,114
Tucker Kraft,104034,TE,GB,19,1,12,47.9,100.0,119,36.5,119,48.7,2,100.0,326,326,57.2,100.0,179,54.9,179
Evan Brown,38709,C,SEA,16,1,29,62.5,100.0,101,31.1,101,57.2,3,100.0,325,325,59.8,100.0,190,58.5,190
Russell Wilson,7077,QB,DEN,15,0,10,60.0,100.0,129,39.7,129,60.0,0,87.8,325,370,60.0,95.5,168,51.7,176
Amari Cooper,9437,WR,CLV,16,0,8,66.6,100.0,171,52.9,171,57.8,1,100.0,323,323,60.2,100.0,124,38.4,124
CeeDee Lamb,61570,WR,DAL,18,0,9,60.6,98.4,120,37.4,122,54.3,2,95.5,321,336,51.6,97.7,170,53.0,174
Adam Trautman,109795,TE,DEN,17,1,10,55.4,100.0,113,35.3,113,60.1,2,100.0,320,320,69.3,100.0,158,49.4,158
Daniel Brunskill,34807,G,TEN,14,0,31,63.9,100.0,134,42.0,134,62.5,0,100.0,319,319,58.9,100.0,156,48.9,156
Dillon Radunz,30551,T,TEN,13,0,31,74.2,100.0,137,42.9,137,78.7,2,100.0,319,319,78.8,100.0,156,48.9,156
Ed Ingram,59819,G,MIN,15,0,18,72.8,100.0,114,35.8,114,59.1,1,100.0,318,318,53.7,100.0,171,53.8,171
Damien Lewis,81532,G,SEA,16,0,29,54.6,100.0,91,28.8,91,57.9,0,100.0,316,316,57.8,100.0,191,60.4,191
Aaron Stinnie,28653,G,TB,14,0,30,54.5,100.0,123,38.9,123,58.9,1,100.0,316,316,57.5,100.0,165,52.2,165
Darius Slayton,25578,WR,NYG,17,0,21,53.7,100.0,110,35.3,110,46.3,0,100.0,312,312,64.6,100.0,164,52.6,164
Mike Evans,8642,WR,TB,19,0,30,59.2,100.0,117,37.7,117,41.4,0,100.0,310,310,60.5,100.0,170,54.8,170
Chris Godwin,11839,WR,TB,19,0,30,72.3,100.0,118,38.1,118,53.9,0,99.0,310,313,74.4,100.0,173,55.8,173
Elijah Moore,84302,WR,CLV,18,0,8,48.5,96.9,154,49.8,159,42.3,0,96.9,309,319,54.6,98.4,121,39.2,123
Daniel Bellinger,84041,TE,NYG,17,0,21,51.1,100.0,108,35.1,108,56.9,2,100.0,308,308,67.7,100.0,169,54.9,169
Kyle Juszczyk,7912,FB,SF,20,0,28,55.6,98.9,90,29.2,91,56.6,0,97.8,308,315,61.7,100.0,187,60.7,187
Jake Ferguson,61081,TE,DAL,18,0,9,60.8,100.0,133,43.2,133,59.6,1,100.0,308,308,55.0,100.0,140,45.5,140
Noah Gray,60878,TE,KC,21,0,16,44.9,100.0,101,33.0,101,56.6,0,99.7,306,307,66.0,100.0,160,52.3,160
Durham Smythe,47257,TE,MIA,17,0,17,51.0,100.0,85,28.0,85,50.2,1,100.0,304,304,66.6,100.0,191,62.8,191
Braxton Jones,60092,T,CHI,11,1,6,57.8,100.0,105,34.7,105,68.2,2,100.0,303,303,76.1,100.0,168,55.4,168
Cooper Kupp,11824,WR,LA,13,0,26,59.2,100.0,161,53.3,161,67.5,0,99.7,302,303,59.5,100.0,128,42.4,128
Deebo Samuel,48274,WR,SF,18,0,28,57.8,94.4,85,28.7,90,60.3,1,88.9,296,333,63.6,92.3,193,65.2,209
Garrett Bradbury,46013,C,MIN,14,0,18,58.3,100.0,104,35.1,104,65.5,1,100.0,296,296,71.6,100.0,158,53.4,158
Calvin Ridley,48262,WR,JAX,17,0,15,55.0,100.0,155,52.5,155,50.2,0,97.0,295,304,71.3,99.2,127,43.1,128
Brian O'Neill,46854,T,MIN,14,0,18,56.7,100.0,102,34.7,102,71.7,2,100.0,294,294,78.0,100.0,163,55.4,163
Sam Howell,97599,QB,WAS,17,0,32,60.1,96.9,94,32.0,97,60.1,0,94.8,294,310,60.0,98.4,190,64.6,193
Dawand Jones,101550,T,CLV,11,0,8,39.8,100.0,144,49.1,144,53.5,1,100.0,293,293,67.8,100.0,120,41.0,120
Geno Smith,7820,QB,SEA,15,0,29,60.6,98.8,82,28.2,83,60.5,0,94.5,291,308,60.2,100.0,190,65.3,190
Justin Pugh,7800,G,NYG,12,0,21,43.4,100.0,102,35.2,102,47.3,0,100.0,290,290,54.2,100.0,157,54.1,157
Travis Kelce,7844,TE,KC,19,0,16,46.8,100.0,113,39.1,113,46.9,2,100.0,289,289,58.5,100.0,163,56.4,163
